virus_id,device_id,virus_count_per_device
1,1,6666666.666667
2,1,14285714.285714
3,1,14285714.285714
4,1,14285714.285714
5,1,6666666.666667
6,1,6000000
7,1,17142857.142857
8,1,13333333.333333
9,1,40000000
10,1,40000000
11,1,40000000
12,1,10000000
13,1,10000000
14,1,20000000
15,1,16000000
16,1,16000000
17,1,17142857.142857
18,1,16000000
19,1,17142857.142857
20,1,15000000
21,1,16000000
22,1,20000000
23,1,13333333.333333
24,1,10909090.909091
25,1,8000000
26,1,40000000
27,1,40000000
28,1,40000000
29,1,12000000
30,1,20000000
31,1,13333333.333333
32,1,13333333.333333
33,1,6666666.666667
34,1,6666666.666667
35,1,6666666.666667
36,1,6666666.666667
37,1,6666666.666667
38,1,8000000
39,1,8000000
40,1,8000000
41,1,8000000
42,1,13333333.333333
43,1,13333333.333333
44,1,40000000
45,1,40000000
46,1,10000000
47,1,20000000
48,1,12000000
49,1,40000000
50,1,40000000
51,1,40000000
52,1,12000000
53,1,13333333.333333
54,1,15000000
55,1,24000000
56,1,17142857.142857
57,1,16000000
58,1,16000000
59,1,15000000
60,1,24000000
61,1,8000000
62,1,8000000
63,1,8000000
64,1,14285714.285714
65,1,14285714.285714
66,1,14285714.285714
67,1,14285714.285714
68,1,14285714.285714
69,1,14285714.285714
70,1,40000000
71,1,40000000
72,1,40000000
73,1,40000000
74,1,40000000
75,1,40000000
76,1,40000000
77,1,13333333.333333
78,1,12000000
79,1,20000000
80,1,13333333.333333
81,1,8000000
82,1,40000000
83,1,15000000
84,1,40000000
85,1,40000000
86,1,40000000
87,1,60000000
88,1,40000000
89,1,40000000
90,1,40000000
91,1,40000000
92,1,40000000
93,1,40000000
94,1,24000000
95,1,12000000
96,1,40000000
97,1,40000000
98,1,10000000
99,1,10000000
100,1,20000000
