virus_id,device_id,virus_count_per_device
1,5,2777777.777778
2,5,5952380.952381
3,5,5952380.952381
4,5,5952380.952381
5,5,2777777.777778
6,5,2500000
7,5,7142857.142857
8,5,5555555.555556
9,5,16666666.666667
10,5,16666666.666667
11,5,16666666.666667
12,5,4166666.666667
13,5,4166666.666667
14,5,8333333.333333
15,5,6666666.666667
16,5,6666666.666667
17,5,7142857.142857
18,5,6666666.666667
19,5,7142857.142857
20,5,6250000
21,5,6666666.666667
22,5,8333333.333333
23,5,5555555.555556
24,5,4545454.545455
25,5,3333333.333333
26,5,16666666.666667
27,5,16666666.666667
28,5,16666666.666667
29,5,5000000
30,5,8333333.333333
31,5,5555555.555556
32,5,5555555.555556
33,5,2777777.777778
34,5,2777777.777778
35,5,2777777.777778
36,5,2777777.777778
37,5,2777777.777778
38,5,3333333.333333
39,5,3333333.333333
40,5,3333333.333333
41,5,3333333.333333
42,5,5555555.555556
43,5,5555555.555556
44,5,16666666.666667
45,5,16666666.666667
46,5,4166666.666667
47,5,8333333.333333
48,5,5000000
49,5,16666666.666667
50,5,16666666.666667
51,5,16666666.666667
52,5,5000000
53,5,5555555.555556
54,5,6250000
55,5,10000000
56,5,7142857.142857
57,5,6666666.666667
58,5,6666666.666667
59,5,6250000
60,5,10000000
61,5,3333333.333333
62,5,3333333.333333
63,5,3333333.333333
64,5,5952380.952381
65,5,5952380.952381
66,5,5952380.952381
67,5,5952380.952381
68,5,5952380.952381
69,5,5952380.952381
70,5,16666666.666667
71,5,16666666.666667
72,5,16666666.666667
73,5,16666666.666667
74,5,16666666.666667
75,5,16666666.666667
76,5,16666666.666667
77,5,5555555.555556
78,5,5000000
79,5,8333333.333333
80,5,5555555.555556
81,5,3333333.333333
82,5,16666666.666667
83,5,6250000
84,5,16666666.666667
85,5,16666666.666667
86,5,16666666.666667
87,5,25000000
88,5,16666666.666667
89,5,16666666.666667
90,5,16666666.666667
91,5,16666666.666667
92,5,16666666.666667
93,5,16666666.666667
94,5,10000000
95,5,5000000
96,5,16666666.666667
97,5,16666666.666667
98,5,4166666.666667
99,5,4166666.666667
100,5,8333333.333333
