virus_id,device_id,virus_count_per_device
1,3,5000000
2,3,10714285.714286
3,3,10714285.714286
4,3,10714285.714286
5,3,5000000
6,3,4500000
7,3,12857142.857143
8,3,10000000
9,3,30000000
10,3,30000000
11,3,30000000
12,3,7500000
13,3,7500000
14,3,15000000
15,3,12000000
16,3,12000000
17,3,12857142.857143
18,3,12000000
19,3,12857142.857143
20,3,11250000
21,3,12000000
22,3,15000000
23,3,10000000
24,3,8181818.181818
25,3,6000000
26,3,30000000
27,3,30000000
28,3,30000000
29,3,9000000
30,3,15000000
31,3,10000000
32,3,10000000
33,3,5000000
34,3,5000000
35,3,5000000
36,3,5000000
37,3,5000000
38,3,6000000
39,3,6000000
40,3,6000000
41,3,6000000
42,3,10000000
43,3,10000000
44,3,30000000
45,3,30000000
46,3,7500000
47,3,15000000
48,3,9000000
49,3,30000000
50,3,30000000
51,3,30000000
52,3,9000000
53,3,10000000
54,3,11250000
55,3,18000000
56,3,12857142.857143
57,3,12000000
58,3,12000000
59,3,11250000
60,3,18000000
61,3,6000000
62,3,6000000
63,3,6000000
64,3,10714285.714286
65,3,10714285.714286
66,3,10714285.714286
67,3,10714285.714286
68,3,10714285.714286
69,3,10714285.714286
70,3,30000000
71,3,30000000
72,3,30000000
73,3,30000000
74,3,30000000
75,3,30000000
76,3,30000000
77,3,10000000
78,3,9000000
79,3,15000000
80,3,10000000
81,3,6000000
82,3,30000000
83,3,11250000
84,3,30000000
85,3,30000000
86,3,30000000
87,3,45000000
88,3,30000000
89,3,30000000
90,3,30000000
91,3,30000000
92,3,30000000
93,3,30000000
94,3,18000000
95,3,9000000
96,3,30000000
97,3,30000000
98,3,7500000
99,3,7500000
100,3,15000000
