virus_id,device_id,virus_count_per_device
1,2,6833.333333
2,2,14642.85714
3,2,14642.85714
4,2,14642.85714
5,2,6833.333333
6,2,6150
7,2,17571.42857
8,2,13666.66667
9,2,41000
10,2,41000
11,2,41000
12,2,10250
13,2,10250
14,2,20500
15,2,16400
16,2,16400
17,2,17571.42857
18,2,16400
19,2,17571.42857
20,2,15375
21,2,16400
22,2,20500
23,2,13666.66667
24,2,11181.81818
25,2,8200
26,2,41000
27,2,41000
28,2,41000
29,2,12300
30,2,20500
31,2,13666.66667
32,2,13666.66667
33,2,6833.333333
34,2,6833.333333
35,2,6833.333333
36,2,6833.333333
37,2,6833.333333
38,2,8200
39,2,8200
40,2,8200
41,2,8200
42,2,13666.66667
43,2,13666.66667
44,2,41000
45,2,41000
46,2,10250
47,2,20500
48,2,12300
49,2,41000
50,2,41000
51,2,41000
52,2,12300
53,2,13666.66667
54,2,15375
55,2,24600
56,2,17571.42857
57,2,16400
58,2,16400
59,2,15375
60,2,24600
61,2,8200
62,2,8200
63,2,8200
64,2,14642.85714
65,2,14642.85714
66,2,14642.85714
67,2,14642.85714
68,2,14642.85714
69,2,14642.85714
70,2,41000
71,2,41000
72,2,41000
73,2,41000
74,2,41000
75,2,41000
76,2,41000
77,2,13666.66667
78,2,12300
79,2,20500
80,2,13666.66667
81,2,8200
82,2,41000
83,2,15375
84,2,41000
85,2,41000
86,2,41000
87,2,61500
88,2,41000
89,2,41000
90,2,41000
91,2,41000
92,2,41000
93,2,41000
94,2,24600
95,2,12300
96,2,41000
97,2,41000
98,2,10250
99,2,10250
100,2,20500
