base_frequency_hz,noise_hz,delta_f_hz,measured_frequency_hz,fft_0,fft_1,fft_2,fft_3,fft_4,fft_5,fft_6,fft_7,fft_8,fft_9,virus_id
1693998.5421410522,1.0578977055296828,1.0578977055296828,1693999.6000387578,4.051262091190276,13.137041386447011,19.477559317888023,1.9124902892131885,10.180910401970383,11.304734170092845,11.39565687392686,7.4134411966866605,9.215693671270488,4.397019715203667,5
1693998.5421410522,-2.9317979089255393,-2.9317979089255393,1693995.6103431433,9.37245386865024,12.732313512134816,8.567955808160914,6.2283742752861375,11.182346822575735,8.600448811610248,14.673201884057033,18.002905663873875,2.811526313199802,4.967312299025289,5
1693998.5421410522,1.9034092845850648,1.9034092845850648,1694000.4455503367,3.185661405333231,12.726644771309507,4.466416203291534,5.785171386111037,2.358979004800048,6.389592896088196,7.134186553163125,6.3731272442323785,12.39414389171615,11.892742215019236,5
1693998.5421410522,0.8907541735221614,0.8907541735221614,1693999.4328952257,21.050879694907533,11.442884646576312,11.550442652141555,9.830910238358868,17.177843591160933,14.934166041642907,8.470354657722513,10.522973286642342,11.657400716581698,10.79107983383306,5
1693998.5421410522,-4.186696499477363,-4.186696499477363,1693994.3554445526,15.760406234483494,18.012168593833675,6.620740706490019,13.06731304428423,3.1440967668806437,9.929905126661374,7.169659151469192,11.87940623336887,8.899284301656216,3.608264776271847,1
1693998.5421410522,-0.9152125105164846,-0.9152125105164846,1693997.6269285416,0.2858735846375611,7.4953818289727945,12.399475082232142,9.001464751112275,8.231431643586337,4.539377819624576,4.620836712588112,7.327203904000616,6.815118690402581,7.890275357382615,5
1693998.5421410522,0.6338692921269595,0.6338692921269595,1693999.1760103444,23.73806066865577,10.915204256537463,10.406286874101774,8.688645806039542,10.689906604016244,14.571017554356077,11.332026525672699,8.560179886501885,14.051901059447259,8.236440670673804,12
1693998.5421410522,-1.7649410443356057,-1.7649410443356057,1693996.7772000078,4.16028459821753,2.900962741375922,7.1925863175630145,13.081903662796753,14.15290168897265,19.011856736393995,11.002944996245963,11.847952088671155,15.1769585325213,14.755739861080302,37
1693998.5421410522,-1.413297740534243,-1.413297740534243,1693997.1288433117,3.4704984879538507,9.687400187640073,3.918970495275262,15.395710443585427,17.29631568415106,20.192520727225276,15.657978789112178,2.415335941868172,8.295821948637526,7.224966002566447,1
1693998.5421410522,0.31737643093722745,0.31737643093722745,1693998.859517483,8.80116903809347,7.333274896942281,15.633798571270452,10.498797627000085,3.9319569602683435,5.29238359516815,13.605924614874558,12.610802177450328,12.371697829870325,2.0902407709106394,5
1693998.5421410522,2.2335253772476777,2.2335253772476777,1694000.7756664294,1.900298168232549,11.877809501127098,10.899034636343414,9.488178521495684,18.576780136721627,20.916344287391606,19.492181628096912,8.996252735787941,6.902493690473736,6.635898606126662,1
1693998.5421410522,0.5780644875261357,0.5780644875261357,1693999.1202055397,7.160371248444912,9.96325783048006,3.627378211292425,3.068290137882658,4.829587583160859,24.353022837825772,11.92957907080044,5.96879585259877,11.057820393459863,3.7120166704737674,5
1693998.5421410522,-2.1543397685510817,-2.1543397685510817,1693996.3878012837,9.22122958756803,9.110596227849408,10.808429989414956,5.447620049825085,20.01736820606186,10.872472973227678,8.591394924406107,12.172992647043156,6.926640181299486,5.8851017539737045,37
1693998.5421410522,-1.2210743010899536,-1.2210743010899536,1693997.3210667511,9.199579287294206,8.717579549190562,13.063766336479713,15.976215979794196,16.303358767015602,7.365175861461716,22.76046874858935,20.36681239891916,4.273571844842977,14.86206533060351,1
1693998.5421410522,1.333790133094493,1.333790133094493,1693999.8759311852,5.064024254096847,4.923070976346731,10.600883585972262,8.060744711460975,14.737365317227567,9.569507554890679,2.8201014149536894,22.018236907906243,8.356581125751342,9.030964857716596,37
1693998.5421410522,2.8503334208902587,2.8503334208902587,1694001.392474473,6.925632426273203,18.555512033119882,12.448717025724001,3.439403202928251,7.85392070677067,1.3615455781311023,13.783837189769876,8.774614759183809,10.014151256913502,3.9551418781776255,37
1693998.5421410522,0.7962505997329112,0.7962505997329112,1693999.3383916519,15.564218843172156,5.700076536851845,8.81332941820733,13.387352009786888,12.83173320884499,5.850308469351392,5.022234371068821,6.639790065397734,9.085307220271554,14.142956310823964,5
1693998.5421410522,1.5417690276962743,1.5417690276962743,1694000.08391008,3.207493802715523,20.136428481764206,9.37983047295766,5.528987989054592,12.82902178139217,13.467815756622064,11.953533830325904,7.559170529109802,6.488431737708991,12.307996230274357,12
1693998.5421410522,-1.1198210451511883,-1.1198210451511883,1693997.422320007,2.2491155021092855,6.582209906255211,10.645674857638861,5.4608060276040975,3.1403522104274675,14.387009324943854,14.804350870969298,20.29819324592999,8.641310292860778,4.550507426217922,5
