ID,f (MHz),∆f (MHz),∆m (g),Mass (g)
1,1.694,3.73e-8,9e-13,4.09e-5
2,1.694,3.73e-8,9e-13,4.09e-5
3,1.694,3.73e-8,9e-13,4.09e-5
4,1.694,3.73e-8,9e-13,4.09e-5
5,1.694,3.73e-8,9e-13,4.09e-5
6,1.694,3.73e-8,9e-13,4.09e-5
7,1.694,3.73e-8,9e-13,4.09e-5
8,1.694,3.73e-8,9e-13,4.09e-5
9,1.694,3.73e-8,9e-13,4.09e-5
10,1.694,3.73e-8,9e-13,4.09e-5
11,1.694,3.73e-8,9e-13,4.09e-5
12,1.694,3.73e-8,9e-13,4.09e-5
13,1.694,3.73e-8,9e-13,4.09e-5
14,1.694,3.73e-8,9e-13,4.09e-5
15,1.694,3.73e-8,9e-13,4.09e-5
16,1.694,3.73e-8,9e-13,4.09e-5
17,1.694,3.73e-8,9e-13,4.09e-5
18,1.694,3.73e-8,9e-13,4.09e-5
19,1.694,3.73e-8,9e-13,4.09e-5
20,1.694,3.73e-8,9e-13,4.09e-5
21,1.694,3.73e-8,9e-13,4.09e-5
22,1.694,3.73e-8,9e-13,4.09e-5
23,1.694,3.73e-8,9e-13,4.09e-5
24,1.694,3.73e-8,9e-13,4.09e-5
25,1.694,3.73e-8,9e-13,4.09e-5
26,1.694,3.73e-8,9e-13,4.09e-5
27,1.694,3.73e-8,9e-13,4.09e-5
28,1.694,3.73e-8,9e-13,4.09e-5
29,1.694,3.73e-8,9e-13,4.09e-5
30,1.694,3.73e-8,9e-13,4.09e-5
31,1.694,3.73e-8,9e-13,4.09e-5
32,1.694,3.73e-8,9e-13,4.09e-5
33,1.694,3.73e-8,9e-13,4.09e-5
34,1.694,3.73e-8,9e-13,4.09e-5
35,1.694,3.73e-8,9e-13,4.09e-5
36,1.694,3.73e-8,9e-13,4.09e-5
37,1.694,3.73e-8,9e-13,4.09e-5
38,1.694,3.73e-8,9e-13,4.09e-5
39,1.694,3.73e-8,9e-13,4.09e-5
40,1.694,3.73e-8,9e-13,4.09e-5
41,1.694,3.73e-8,9e-13,4.09e-5
42,1.694,3.73e-8,9e-13,4.09e-5
43,1.694,3.73e-8,9e-13,4.09e-5
44,1.694,3.73e-8,9e-13,4.09e-5
45,1.694,3.73e-8,9e-13,4.09e-5
46,1.694,3.73e-8,9e-13,4.09e-5
47,1.694,3.73e-8,9e-13,4.09e-5
48,1.694,3.73e-8,9e-13,4.09e-5
49,1.694,3.73e-8,9e-13,4.09e-5
50,1.694,3.73e-8,9e-13,4.09e-5
51,1.694,3.73e-8,9e-13,4.09e-5
52,1.694,3.73e-8,9e-13,4.09e-5
53,1.694,3.73e-8,9e-13,4.09e-5
54,1.694,3.73e-8,9e-13,4.09e-5
55,1.694,3.73e-8,9e-13,4.09e-5
56,1.694,3.73e-8,9e-13,4.09e-5
57,1.694,3.73e-8,9e-13,4.09e-5
58,1.694,3.73e-8,9e-13,4.09e-5
59,1.694,3.73e-8,9e-13,4.09e-5
60,1.694,3.73e-8,9e-13,4.09e-5
61,1.694,3.73e-8,9e-13,4.09e-5
62,1.694,3.73e-8,9e-13,4.09e-5
63,1.694,3.73e-8,9e-13,4.09e-5
64,1.694,3.73e-8,9e-13,4.09e-5
65,1.694,3.73e-8,9e-13,4.09e-5
66,1.694,3.73e-8,9e-13,4.09e-5
67,1.694,3.73e-8,9e-13,4.09e-5
68,1.694,3.73e-8,9e-13,4.09e-5
69,1.694,3.73e-8,9e-13,4.09e-5
70,1.694,3.73e-8,9e-13,4.09e-5
71,1.694,3.73e-8,9e-13,4.09e-5
72,1.694,3.73e-8,9e-13,4.09e-5
73,1.694,3.73e-8,9e-13,4.09e-5
74,1.694,3.73e-8,9e-13,4.09e-5
75,1.694,3.73e-8,9e-13,4.09e-5
76,1.694,3.73e-8,9e-13,4.09e-5
77,1.694,3.73e-8,9e-13,4.09e-5
78,1.694,3.73e-8,9e-13,4.09e-5
79,1.694,3.73e-8,9e-13,4.09e-5
80,1.694,3.73e-8,9e-13,4.09e-5
81,1.694,3.73e-8,9e-13,4.09e-5
82,1.694,3.73e-8,9e-13,4.09e-5
83,1.694,3.73e-8,9e-13,4.09e-5
84,1.694,3.73e-8,9e-13,4.09e-5
85,1.694,3.73e-8,9e-13,4.09e-5
86,1.694,3.73e-8,9e-13,4.09e-5
87,1.694,3.73e-8,9e-13,4.09e-5
88,1.694,3.73e-8,9e-13,4.09e-5
89,1.694,3.73e-8,9e-13,4.09e-5
90,1.694,3.73e-8,9e-13,4.09e-5
91,1.694,3.73e-8,9e-13,4.09e-5
92,1.694,3.73e-8,9e-13,4.09e-5
93,1.694,3.73e-8,9e-13,4.09e-5
94,1.694,3.73e-8,9e-13,4.09e-5
95,1.694,3.73e-8,9e-13,4.09e-5
96,1.694,3.73e-8,9e-13,4.09e-5
97,1.694,3.73e-8,9e-13,4.09e-5
98,1.694,3.73e-8,9e-13,4.09e-5
99,1.694,3.73e-8,9e-13,4.09e-5
100,1.694,3.73e-8,9e-13,4.09e-5
